"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL111271";"";"None";"508.59";"2";"6.98";"25";"CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"11.64";"0.22";"-1.06";"7.98";"0";"CHEMBL759451";"In vitro binding affinity for human peroxisome proliferator activated receptor gamma using scintillation proximity assay (SPA)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149176";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"1.2"
"CHEMBL121106";"";"None";"357.44";"0";"2.49";"1a";"CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"21.05";"0.41";"5.03";"10.52";"0";"CHEMBL762531";"Initial binding affinity against PPAR-gamma receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130725";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"0.03"
"CHEMBL121106";"";"None";"357.44";"0";"2.49";"1a";"CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"20.20";"0.39";"4.73";"10.10";"0";"CHEMBL762530";"Final binding affinity against PPAR-gamma receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130725";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"0.06"
"CHEMBL381477";"";"None";"486.97";"1";"7.16";"19";"CCCC(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL867229";"Binding affinity to human PPAR gamma";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139027";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";""
"CHEMBL2037081";"";"None";"486.49";"1";"6.09";"70";"Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1Cn1ccc2cc(C[C@@H](OC(C)C)C(=O)O)ccc21";"IC50";"'='";"139.0";"nM";"6.86";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2038597";"Agonist activity at PPARgamma";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034870";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"6.857"
"CHEMBL3695875";"";"None";"508.67";"2";"8.62";"BDBM147320";"Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)N[C@@H](C)c3cccc4ccccc34)cc12";"IC50";"'='";"256.0";"nM";"6.59";"";"284644";"UO_0000065";"12.96";"0.23";"-2.03";"19.37";"0";"CHEMBL3706273";"Lanthascreen Competitive Binding Assay: The assay was performed according to manufacturer protocol. A mixture of nM GST-PPARG-LBD, 5 nM Tb-GST-antibody, 5 nM Fluormone Pan-PPAR Green, and serial dilutions of the experimental compound, beginning at 10 μM downwards, was added to wells of black 384-well low-volume plates (Greiner) to a total volume of 18 μL. All dilutions were made in TR-FRET assay buffer C. DMSO at 2% final concentration was used as a no-ligand control. Experiment was performed in triplicate, and incubated for 2 hours in the dark prior to assay read in Perkin Elmer ViewLux ultra HTS microplate reader. FRET signal was measured by excitation at 340 nm and emission at 520 nm for fluorescein and 490 nm for terbium. Fold change over DMSO was calculated using GraphPad Prism Software (La Jolla, Calif.) by calculating 520 nm/490 nm ratio. Graphs were plotted as fold change of FRET signal for compound treatment over DMSO-only control.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638687";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"256.0"
"CHEMBL3695892";"";"None";"527.50";"2";"8.77";"BDBM147337";"Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)N[C@H](C)c3cccc(Cl)c3Cl)cc12";"IC50";"'='";"5.0";"nM";"8.30";"";"284661";"UO_0000065";"15.74";"0.31";"-0.47";"24.39";"0";"CHEMBL3706273";"Lanthascreen Competitive Binding Assay: The assay was performed according to manufacturer protocol. A mixture of nM GST-PPARG-LBD, 5 nM Tb-GST-antibody, 5 nM Fluormone Pan-PPAR Green, and serial dilutions of the experimental compound, beginning at 10 μM downwards, was added to wells of black 384-well low-volume plates (Greiner) to a total volume of 18 μL. All dilutions were made in TR-FRET assay buffer C. DMSO at 2% final concentration was used as a no-ligand control. Experiment was performed in triplicate, and incubated for 2 hours in the dark prior to assay read in Perkin Elmer ViewLux ultra HTS microplate reader. FRET signal was measured by excitation at 340 nm and emission at 520 nm for fluorescein and 490 nm for terbium. Fold change over DMSO was calculated using GraphPad Prism Software (La Jolla, Calif.) by calculating 520 nm/490 nm ratio. Graphs were plotted as fold change of FRET signal for compound treatment over DMSO-only control.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638687";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"5.0"
"CHEMBL3695898";"";"None";"506.62";"2";"7.61";"BDBM147343";"COc1c(F)cccc1[C@H](C)NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2)cc1";"IC50";"'='";"21.0";"nM";"7.68";"";"284667";"UO_0000065";"15.15";"0.28";"0.07";"17.75";"0";"CHEMBL3706273";"Lanthascreen Competitive Binding Assay: The assay was performed according to manufacturer protocol. A mixture of nM GST-PPARG-LBD, 5 nM Tb-GST-antibody, 5 nM Fluormone Pan-PPAR Green, and serial dilutions of the experimental compound, beginning at 10 μM downwards, was added to wells of black 384-well low-volume plates (Greiner) to a total volume of 18 μL. All dilutions were made in TR-FRET assay buffer C. DMSO at 2% final concentration was used as a no-ligand control. Experiment was performed in triplicate, and incubated for 2 hours in the dark prior to assay read in Perkin Elmer ViewLux ultra HTS microplate reader. FRET signal was measured by excitation at 340 nm and emission at 520 nm for fluorescein and 490 nm for terbium. Fold change over DMSO was calculated using GraphPad Prism Software (La Jolla, Calif.) by calculating 520 nm/490 nm ratio. Graphs were plotted as fold change of FRET signal for compound treatment over DMSO-only control.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638687";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"21.0"
"CHEMBL3699355";"";"None";"638.61";"2";"9.20";"BDBM147372";"Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)N[C@H](C)c3ccc(C(F)(F)F)cc3C(F)(F)F)cc12";"IC50";"'='";"11.0";"nM";"7.96";"";"284696";"UO_0000065";"12.46";"0.24";"-1.24";"11.16";"0";"CHEMBL3706273";"Lanthascreen Competitive Binding Assay: The assay was performed according to manufacturer protocol. A mixture of nM GST-PPARG-LBD, 5 nM Tb-GST-antibody, 5 nM Fluormone Pan-PPAR Green, and serial dilutions of the experimental compound, beginning at 10 μM downwards, was added to wells of black 384-well low-volume plates (Greiner) to a total volume of 18 μL. All dilutions were made in TR-FRET assay buffer C. DMSO at 2% final concentration was used as a no-ligand control. Experiment was performed in triplicate, and incubated for 2 hours in the dark prior to assay read in Perkin Elmer ViewLux ultra HTS microplate reader. FRET signal was measured by excitation at 340 nm and emission at 520 nm for fluorescein and 490 nm for terbium. Fold change over DMSO was calculated using GraphPad Prism Software (La Jolla, Calif.) by calculating 520 nm/490 nm ratio. Graphs were plotted as fold change of FRET signal for compound treatment over DMSO-only control.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638687";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"11.0"
"CHEMBL3699362";"";"None";"539.58";"2";"6.84";"BDBM147379";"Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)N[C@@H](C)c3c(F)cncc3F)cc12";"IC50";"'='";"33.0";"nM";"7.48";"";"284703";"UO_0000065";"13.87";"0.26";"0.64";"8.88";"0";"CHEMBL3706273";"Lanthascreen Competitive Binding Assay: The assay was performed according to manufacturer protocol. A mixture of nM GST-PPARG-LBD, 5 nM Tb-GST-antibody, 5 nM Fluormone Pan-PPAR Green, and serial dilutions of the experimental compound, beginning at 10 μM downwards, was added to wells of black 384-well low-volume plates (Greiner) to a total volume of 18 μL. All dilutions were made in TR-FRET assay buffer C. DMSO at 2% final concentration was used as a no-ligand control. Experiment was performed in triplicate, and incubated for 2 hours in the dark prior to assay read in Perkin Elmer ViewLux ultra HTS microplate reader. FRET signal was measured by excitation at 340 nm and emission at 520 nm for fluorescein and 490 nm for terbium. Fold change over DMSO was calculated using GraphPad Prism Software (La Jolla, Calif.) by calculating 520 nm/490 nm ratio. Graphs were plotted as fold change of FRET signal for compound treatment over DMSO-only control.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638687";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"33.0"
