preprocessedSmiles;Molecule ChEMBL ID;y_true_label
CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2;CHEMBL111271;0
Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1Cn1ccc2cc(CC(OC(C)C)C(=O)O)ccc21;CHEMBL2037081;1
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NC(C)c3cccc4ccccc34)cc12;CHEMBL3695875;1
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NC(C)c3cccc(Cl)c3Cl)cc12;CHEMBL3695892;1
COc1c(F)cccc1C(C)NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2)cc1;CHEMBL3695898;1
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NC(C)c3ccc(C(F)(F)F)cc3C(F)(F)F)cc12;CHEMBL3699355;1
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NC(C)c3c(F)cncc3F)cc12;CHEMBL3699362;1
Cc1cc(Cl)ccc1C(C)NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2)cc1;CHEMBL3699372;1
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NC(C)c3c(F)ccc(F)c3F)cc12;CHEMBL3699381;1
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NC(C)c3cccc(Br)n3)cc12;CHEMBL3699414;1
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NC3CC3c3ccccc3)cc12;CHEMBL3699421;1
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)NCc3ccc(I)cc3)cc12;CHEMBL3695766;1
Cc1c(C)n(Cc2ccc(-c3ccccc3)cc2)c2ccc(C(=O)NC(C)c3cccc(C(C)C)c3)cc12;CHEMBL3695860;1
COc1cccc2c1ccn2S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)cc2C(=O)O)c1;CHEMBL496744;0
COc1ccc2ccn(S(=O)(=O)c3cccc(C(=O)Nc4ccc(Cl)cc4C(=O)O)c3)c2c1;CHEMBL497991;0
CCCc1c(OCCCOc2cccc3c2ccn3CC(=O)O)ccc2cc(C(=O)c3ccccc3)ccc12;CHEMBL201036;1
COc1ccc2c(c1)c(Cc1ccc(OCC(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1;CHEMBL178562;1
CCCc1cc(C(=O)CC)cc(CCC)c1OC(C(=O)O)c1ccccc1;CHEMBL364467;0
CCCc1cc(C(=O)CC)cc(CCC)c1OC(C(=O)O)c1ccc(CC)cc1;CHEMBL370021;1
CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(Cl)cc3Cl)cc2O1;CHEMBL435343;0
O=C(Nc1ccc(F)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1;CHEMBL519345;0
O=C(Nc1ccc(Cl)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCc3c(cccc3C(=O)O)C2)c1;CHEMBL496136;0
O=C(O)COc1cccc2c1CCN(S(=O)(=O)c1cccc(C(=O)Nc3ccc(Cl)cc3C(=O)O)c1)C2;CHEMBL498401;0
COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C;CHEMBL496743;0
Cc1oc(-c2ccc(Br)cc2)nc1CCOc1ccc(OC(C)(C)C(=O)O)cc1;CHEMBL65458;0
CCC(Oc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(=O)O;CHEMBL178236;1
CC1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1;CHEMBL360240;0
CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1;CHEMBL179180;1
CC1(C)CCC(c2ccc(OCCCOc3ccc4c(c3)OC(C)(C(=O)O)CC4)c(Cl)c2)CC1;CHEMBL182200;0
CC1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccc(F)cc4)cc3Cl)cc2O1;CHEMBL360246;1
Cc1ccc(CNC(=O)c2ccc(C(F)(F)F)cc2F)cc1Oc1ccc(OC(C)(C)C(=O)O)c(C)c1;CHEMBL237307;1
Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3Br)c2)ccc1OC(C)(C)C(=O)O;CHEMBL236877;1
Cc1oc(-c2ccccc2)nc1CCOc1cccc(CC2CN(c3nccc(C(F)(F)F)n3)CC2C(=O)O)c1;CHEMBL3398446;1
Cc1oc(-c2ccccc2)nc1CCOc1ccc(C2CN(C(=O)Oc3ccccc3)CC2CC(=O)O)cc1;CHEMBL3398435;0
COc1ccc(C(=O)c2c(C)n(Cc3ccc(F)c(OC(C)C(=O)O)c3)c3nc(OC)ccc23)cc1;CHEMBL460072;1
CCC(Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc32)c1)C(=O)O;CHEMBL552240;1
Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3C)c2)ccc1OC(C)(C)C(=O)O;CHEMBL236664;1
